1,1,1,-1,-1
2,0,0,0,-2
1,1,1,-1,-1
0,0,0,-2,0
-1,1,1,-1,1
0,0,2,-2,0
1,1,1,-3,1
2,2,0,-4,0
1,1,1,-5,-1
2,2,2,-6,0
1,3,1,-5,-1
2,4,2,-4,-2
1,3,1,-3,-3
0,4,0,-2,-2
1,3,1,-1,-1
2,4,0,0,-2
3,3,1,-1,-1
2,4,2,0,-2
1,3,3,1,-3
0,4,4,0,-2
1,5,3,-1,-1
2,6,2,0,-2
1,5,1,-1,-3
0,6,2,-2,-4
-1,5,1,-3,-3
0,6,0,-4,-2
1,7,-1,-5,-1
0,8,-2,-6,0
1,9,-3,-7,1
2,8,-4,-6,2
1,7,-3,-7,1
0,8,-2,-6,0
1,9,-1,-7,1
0,8,0,-8,2
-1,9,1,-9,3
0,8,0,-8,4
1,9,1,-9,5
2,8,0,-8,4
3,7,-1,-9,5
2,6,-2,-8,4
1,7,-3,-9,5
2,6,-2,-8,6
1,5,-1,-7,5
0,6,-2,-6,6
1,5,-1,-7,7
0,4,-2,-6,8
1,5,-3,-5,9
0,6,-4,-4,8
1,7,-5,-3,9
0,6,-6,-2,8
1,5,-7,-3,7
2,4,-6,-4,6
1,3,-5,-5,5
0,2,-4,-6,6
1,3,-5,-7,5
0,2,-6,-6,4
1,3,-7,-7,5
2,4,-6,-6,6
3,5,-5,-5,7
2,6,-6,-4,6
1,5,-7,-3,7
0,4,-6,-4,6
1,5,-7,-5,5
0,4,-6,-6,6
-1,3,-5,-5,7
0,2,-6,-6,6
1,3,-5,-7,7
2,4,-4,-8,6
3,3,-3,-9,5
2,4,-4,-8,6
3,5,-3,-9,5
2,6,-4,-10,6
3,7,-3,-11,7
4,8,-4,-10,6
5,7,-5,-9,5
4,8,-4,-8,6
5,7,-3,-7,5
4,8,-4,-8,6
3,7,-3,-9,7
2,6,-4,-10,6
1,5,-5,-9,5
2,6,-6,-8,6
1,5,-5,-7,7
0,4,-4,-8,8
-1,5,-3,-7,7
-2,6,-2,-8,6
-3,5,-1,-7,5
-4,4,-2,-6,6
-5,3,-3,-5,7
-6,2,-2,-6,8
-5,1,-3,-7,7
-4,0,-2,-8,8
-3,1,-3,-7,7
-4,2,-2,-8,6
-3,3,-3,-9,5
-4,4,-4,-8,4
-5,3,-3,-7,5
-4,2,-4,-8,4
-5,1,-5,-7,5
-4,2,-6,-6,6
